ID_USUARIO;NOMBRE_USUARIO;NOMBRE_COMPLETO;PERFIL;DESCRIPCION;RECURSO;DESCRIPCION
0;admin;;A0;admin;550;Recurso para acceso FULL PowerBI Indicadores
51;amoleri;;A51;amoleri;557;Aceptar Diferencia Recepcion Nivel 1
51;amoleri;;A51;amoleri;558;Aceptar Diferencia Recepcion Nivel 2
25;dmoreira;;A25;dmoreira;532;Colector asignacion de carga
25;dmoreira;;A25;dmoreira;405;REC500_Page_Access_ColectorExpedicion
60;fhernandez;;A60;fhernandez;535;CEXP600_Opt_FL_AUTO_CARGA
60;fhernandez;;A60;fhernandez;536;CEXP600_Opt_FL_CTRL_CONTENEDORES
60;fhernandez;;A60;fhernandez;434;CNS000_Section_Access_Consulta
60;fhernandez;;A60;fhernandez;435;CNS510_Page_Access_UbicacionProducto
60;fhernandez;;A60;fhernandez;436;CNS520_Page_Access_ProductoUbicacion
60;fhernandez;;A60;fhernandez;501;Control documental
60;fhernandez;;A60;fhernandez;407;DEV520_Page_Access_ColectorAveriasDeposito
60;fhernandez;;A60;fhernandez;429;Opci? salir del sistema colectores
60;fhernandez;;A60;fhernandez;547;Pantalla de liberacion automatica
60;fhernandez;;A60;fhernandez;548;Secci? Configuraci? Automatizacion
59;fmaldonado;;A59;fmaldonado;535;CEXP600_Opt_FL_AUTO_CARGA
59;fmaldonado;;A59;fmaldonado;536;CEXP600_Opt_FL_CTRL_CONTENEDORES
59;fmaldonado;;A59;fmaldonado;434;CNS000_Section_Access_Consulta
59;fmaldonado;;A59;fmaldonado;435;CNS510_Page_Access_UbicacionProducto
59;fmaldonado;;A59;fmaldonado;436;CNS520_Page_Access_ProductoUbicacion
59;fmaldonado;;A59;fmaldonado;501;Control documental
59;fmaldonado;;A59;fmaldonado;407;DEV520_Page_Access_ColectorAveriasDeposito
59;fmaldonado;;A59;fmaldonado;429;Opci? salir del sistema colectores
59;fmaldonado;;A59;fmaldonado;547;Pantalla de liberacion automatica
59;fmaldonado;;A59;fmaldonado;548;Secci? Configuraci? Automatizacion
8;kcarrozzino;;A8;kcarrozzino;557;Aceptar Diferencia Recepcion Nivel 1
8;kcarrozzino;;A8;kcarrozzino;558;Aceptar Diferencia Recepcion Nivel 2
8;kcarrozzino;;A8;kcarrozzino;559;Aceptar Diferencia Recepcion Nivel 3
14;vrossi;;A14;vrossi;559;Aceptar Diferencia Recepcion Nivel 3
